timepoint,year,block,plot,transect_name,initial_state,treatment_type,dispersal_treatment,cm_location,species_code,genus,species,count,notes
t0,2020,3,27,3_27,open,open_with_pvc,after,7,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,3,27,3_27,open,open_with_pvc,after,13,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,4,17,4_17,open,open_with_log,before,20,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,4,18,4_18,open,open_with_log,after,6,acul,Actinobole,uliginosum,2,Recorded as 'actinoble' but entered as ACUL
t0,2020,4,18,4_18,open,open_with_log,after,11,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,4,18,4_18,open,open_with_log,after,18,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,4,19,4_19,open,open,NA,17,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,4,19,4_19,open,open,NA,19,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,4,28,4_28,open,open,NA,2,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,4,28,4_28,open,open,NA,4,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,4,28,4_28,open,open,NA,6,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,4,28,4_28,open,open,NA,8,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,4,28,4_28,open,open,NA,10,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,4,28,4_28,open,open,NA,14,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,4,28,4_28,open,open,NA,18,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,4,ten,4_10,log,insitu_log,before,11,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,4,ten,4_10,log,insitu_log,before,13,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,5,3,5_3,open,open,NA,1,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,5,26,5_26,open,open_with_pvc,before,12,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,5,29,5_29,open,open_with_pvc,after,3,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,5,29,5_29,open,open_with_pvc,after,17,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,6,8,6_8,log,gap,before,2,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,6,8,6_8,log,gap,before,15,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t0,2020,6,25,6_25,open,open_with_pvc,before,9,acul,Actinobole,uliginosum,1,Recorded as 'actinoble' but entered as ACUL
t1,2021,1,3,1_3,log,insitu_pvc,before,9,acul,Actinobole,uliginosum,1,
t1,2021,1,3,1_3,log,insitu_pvc,before,18,acul,Actinobole,uliginosum,1,
t1,2021,1,18,1_18,open,open_with_log,after,11,acul,Actinobole,uliginosum,1,
t1,2021,1,18,1_18,open,open_with_log,after,20,acul,Actinobole,uliginosum,1,
t1,2021,2,24,2_24,open,open_with_log,after,2,acul,Actinobole,uliginosum,1,
t1,2021,2,24,2_24,open,open_with_log,after,9,acul,Actinobole,uliginosum,1,
t1,2021,3,3,3_3,log,gap,after,8,acul,Actinobole,uliginosum,1,
t1,2021,4,6,4_6,log,gap,after,2,acul,Actinobole,uliginosum,1,recorded as 'auul' but assuming that was an accident and meant to say acul. Also fallen tree over plot and nail missing so assumed 20 cm based on remaining nail.
t1,2021,4,6,4_6,log,gap,after,3,acul,Actinobole,uliginosum,1,
t1,2021,4,6,4_6,log,gap,after,5,acul,Actinobole,uliginosum,1,
t1,2021,4,6,4_6,log,gap,after,16,acul,Actinobole,uliginosum,1,
t1,2021,4,8,4_8,log,gap,after,9,acul,Actinobole,uliginosum,1,
t1,2021,4,8,4_8,log,gap,after,19,acul,Actinobole,uliginosum,1,
t1,2021,4,8,4_8,log,gap,after,20,acul,Actinobole,uliginosum,1,
t1,2021,4,17,4_17,open,open_with_log,before,10,acul,Actinobole,uliginosum,1,
t1,2021,4,17,4_17,open,open_with_log,before,13,acul,Actinobole,uliginosum,1,
t1,2021,4,18,4_18,open,open_with_log,after,1,acul,Actinobole,uliginosum,1,
t1,2021,4,25,4_25,open,open_with_pvc,after,10,acul,Actinobole,uliginosum,1,
t1,2021,4,25,4_25,open,open_with_pvc,after,16,acul,Actinobole,uliginosum,1,
t1,2021,4,26,4_26,open,open,NA,2,acul,Actinobole,uliginosum,1,
t1,2021,4,28,4_28,open,open,NA,8,acul,Actinobole,uliginosum,1,
t1,2021,4,29,4_29,open,open,NA,0,acul,Actinobole,uliginosum,1,
t1,2021,4,29,4_29,open,open,NA,7,acul,Actinobole,uliginosum,1,
t1,2021,4,29,4_29,open,open,NA,8,acul,Actinobole,uliginosum,1,
t1,2021,4,29,4_29,open,open,NA,12,acul,Actinobole,uliginosum,1,
t1,2021,4,ten,4_10,log,insitu_log,before,14,acul,Actinobole,uliginosum,1,
t1,2021,5,3,5_3,open,open,NA,12,acul,Actinobole,uliginosum,1,
t1,2021,5,3,5_3,open,open,NA,20,acul,Actinobole,uliginosum,1,
t1,2021,5,9,5_9,log,insitu_pvc,before,3,acul,Actinobole,uliginosum,1,
